"","x"
"1",0.389285714285714
"2",0.419642857142857
"3",0.428312159709619
"4",0.421428571428571
"5",0.442680776014109
"6",0.430357142857143
"7",0.450090744101633
"8",0.44464609800363
"9",0.431941923774955
"10",0.437386569872958
"11",0.439201451905626
"12",0.416666666666667
"13",0.418518518518519
"14",0.404718693284936
"15",0.395644283121597
"16",0.37568058076225
"17",0.386569872958258
"18",0.41923774954628
"19",0.415607985480944
"20",0.4
"21",0.426807760141093
"22",0.46384479717813
"23",0.453571428571429
"24",0.460714285714286
"25",0.44973544973545
"26",0.440917107583774
"27",0.473214285714286
"28",0.459165154264973
"29",0.460714285714286
"30",0.458928571428571
"31",0.451785714285714
"32",0.428571428571429
"33",0.432142857142857
"34",0.444642857142857
"35",0.460980036297641
"36",0.451785714285714
"37",0.426785714285714
"38",0.441016333938294
"39",0.428312159709619
"40",0.42037037037037
"41",0.418518518518519
"42",0.42314990512334
"43",0.435185185185185
"44",0.448275862068966
"45",0.475
"46",0.499118165784832
"47",0.54320987654321
"48",0.54673721340388
"49",0.53968253968254
"50",0.54020979020979
"51",0.54020979020979
"52",0.569664902998236
"53",0.585714285714286
"54",0.607142857142857
"55",0.569664902998236
"56",0.569664902998236
"57",0.574955908289242
"58",0.553571428571429
"59",0.546279491833031
"60",0.539285714285714
"61",0.535714285714286
"62",0.532142857142857
"63",0.535714285714286
"64",0.546428571428571
"65",0.530357142857143
"66",0.530357142857143
"67",0.530357142857143
"68",0.553539019963702
"69",0.542592592592593
"70",0.521821631878558
"71",0.52561669829222
"72",0.531309297912713
"73",0.568359375
"74",0.58203125
"75",0.5703125
"76",0.55859375
"77",0.595703125
"78",0.616698292220114
"79",0.614800759013283
"80",0.603415559772296
"81",0.603415559772296
"82",0.572222222222222
"83",0.568518518518519
"84",0.587037037037037
"85",0.587037037037037
"86",0.585185185185185
"87",0.594444444444444
"88",0.620689655172414
"89",0.642857142857143
"90",0.663139329805996
"91",0.644642857142857
"92",0.631578947368421
"93",0.58983666061706
"94",0.575317604355717
"95",0.544464609800363
"96",0.512962962962963
"97",0.531481481481481
"98",0.500948766603416
"99",0.514814814814815
"100",0.535390199637024
"101",0.520871143375681
"102",0.508166969147005
"103",0.540740740740741
"104",0.561111111111111
"105",0.592030360531309
"106",0.607407407407407
"107",0.618874773139746
"108",0.622222222222222
"109",0.61524500907441
"110",0.637037037037037
"111",0.61524500907441
"112",0.593466424682396
"113",0.618518518518518
"114",0.622390891840607
"115",0.590740740740741
"116",0.584392014519056
"117",0.592857142857143
"118",0.573192239858907
"119",0.587412587412587
"120",0.579130434782609
"121",0.576388888888889
"122",0.555555555555556
"123",0.52695652173913
"124",0.546086956521739
"125",0.545138888888889
"126",0.512152777777778
"127",0.504347826086956
"128",0.52
"129",0.51304347826087
"130",0.532986111111111
"131",0.546086956521739
"132",0.546086956521739
"133",0.555944055944056
"134",0.554195804195804
"135",0.555944055944056
"136",0.558260869565217
"137",0.557291666666667
"138",0.554782608695652
"139",0.5625
"140",0.552083333333333
"141",0.565217391304348
"142",0.552447552447552
"143",0.550699300699301
"144",0.554195804195804
"145",0.564685314685315
"146",0.58041958041958
"147",0.555944055944056
"148",0.523809523809524
"149",0.531468531468531
"150",0.525217391304348
"151",0.530434782608696
"152",0.528695652173913
"153",0.528695652173913
"154",0.533216783216783
"155",0.527336860670194
"156",0.55379188712522
"157",0.566071428571429
"158",0.569664902998236
"159",0.569642857142857
"160",0.576785714285714
"161",0.5875
"162",0.587301587301587
"163",0.610229276895944
"164",0.594356261022928
"165",0.580357142857143
"166",0.597096188747731
"167",0.571687840290381
"168",0.573502722323049
"169",0.533333333333333
"170",0.544444444444444
"171",0.586337760910816
"172",0.609108159392789
"173",0.609108159392789
"174",0.614800759013283
"175",0.641366223908918
"176",0.622390891840607
"177",0.624288425047438
"178",0.62037037037037
"179",0.599620493358634
"180",0.6015625
"181",0.572265625
"182",0.61100569259962
"183",0.62962962962963
"184",0.637023593466425
"185",0.611615245009074
"186",0.611615245009074
"187",0.637037037037037
"188",0.661111111111111
"189",0.642468239564428
"190",0.626785714285714
"191",0.637023593466425
"192",0.658802177858439
"193",0.658802177858439
"194",0.676950998185118
"195",0.681481481481481
"196",0.698729582577132
"197",0.67962962962963
"198",0.667931688804554
