"","x"
"1",0.471428571428571
"2",0.494642857142857
"3",0.517241379310345
"4",0.498214285714286
"5",0.513227513227513
"6",0.508928571428571
"7",0.511796733212341
"8",0.517241379310345
"9",0.515426497277677
"10",0.515426497277677
"11",0.502722323049002
"12",0.503703703703704
"13",0.512962962962963
"14",0.513611615245009
"15",0.519056261343013
"16",0.517241379310345
"17",0.506352087114338
"18",0.537205081669691
"19",0.522686025408348
"20",0.510714285714286
"21",0.54320987654321
"22",0.548500881834215
"23",0.530357142857143
"24",0.548214285714286
"25",0.54320987654321
"26",0.541446208112875
"27",0.557142857142857
"28",0.540834845735027
"29",0.533928571428571
"30",0.533928571428571
"31",0.535714285714286
"32",0.516754850088183
"33",0.521428571428571
"34",0.528571428571429
"35",0.548094373865699
"36",0.575
"37",0.544642857142857
"38",0.539019963702359
"39",0.522686025408348
"40",0.505555555555556
"41",0.5
"42",0.487666034155598
"43",0.503703703703704
"44",0.522686025408348
"45",0.548214285714286
"46",0.569664902998236
"47",0.611992945326279
"48",0.620811287477954
"49",0.610229276895944
"50",0.617132867132867
"51",0.617132867132867
"52",0.657848324514991
"53",0.669642857142857
"54",0.689285714285714
"55",0.649029982363316
"56",0.647266313932981
"57",0.631393298059965
"58",0.616071428571429
"59",0.618874773139746
"60",0.603571428571429
"61",0.594642857142857
"62",0.582142857142857
"63",0.578571428571429
"64",0.580357142857143
"65",0.575
"66",0.585714285714286
"67",0.585714285714286
"68",0.609800362976406
"69",0.598148148148148
"70",0.592030360531309
"71",0.597722960151803
"72",0.603415559772296
"73",0.62890625
"74",0.638671875
"75",0.626953125
"76",0.61328125
"77",0.654296875
"78",0.667931688804554
"79",0.656546489563567
"80",0.658444022770398
"81",0.664136622390892
"82",0.631481481481482
"83",0.631481481481482
"84",0.625925925925926
"85",0.631481481481482
"86",0.637037037037037
"87",0.648148148148148
"88",0.673321234119782
"89",0.691071428571429
"90",0.703703703703704
"91",0.678571428571429
"92",0.667876588021779
"93",0.62431941923775
"94",0.611615245009074
"95",0.578947368421053
"96",0.559259259259259
"97",0.587037037037037
"98",0.565464895635674
"99",0.574074074074074
"100",0.588021778584392
"101",0.575317604355717
"102",0.562613430127042
"103",0.594444444444444
"104",0.596296296296296
"105",0.631878557874763
"106",0.62962962962963
"107",0.629764065335753
"108",0.642592592592593
"109",0.629764065335753
"110",0.646296296296296
"111",0.635208711433757
"112",0.613430127041742
"113",0.638888888888889
"114",0.624288425047438
"115",0.616666666666667
"116",0.61524500907441
"117",0.625
"118",0.622574955908289
"119",0.627622377622378
"120",0.626086956521739
"121",0.625
"122",0.602430555555556
"123",0.575652173913043
"124",0.605217391304348
"125",0.603298611111111
"126",0.573784722222222
"127",0.574782608695652
"128",0.578260869565217
"129",0.566086956521739
"130",0.5859375
"131",0.588695652173913
"132",0.585217391304348
"133",0.609265734265734
"134",0.598776223776224
"135",0.588286713286713
"136",0.588695652173913
"137",0.578993055555556
"138",0.576521739130435
"139",0.5859375
"140",0.5859375
"141",0.610434782608696
"142",0.603146853146853
"143",0.597902097902098
"144",0.587412587412587
"145",0.587412587412587
"146",0.59965034965035
"147",0.56993006993007
"148",0.53968253968254
"149",0.561188811188811
"150",0.568695652173913
"151",0.568695652173913
"152",0.572173913043478
"153",0.572173913043478
"154",0.587412587412587
"155",0.592592592592593
"156",0.606701940035273
"157",0.633928571428571
"158",0.613756613756614
"159",0.630357142857143
"160",0.630357142857143
"161",0.626785714285714
"162",0.6331569664903
"163",0.64373897707231
"164",0.64021164021164
"165",0.623214285714286
"166",0.598911070780399
"167",0.578947368421053
"168",0.578947368421053
"169",0.538888888888889
"170",0.557407407407407
"171",0.603415559772296
"172",0.605313092979127
"173",0.599620493358634
"174",0.614800759013283
"175",0.645161290322581
"176",0.620493358633776
"177",0.620493358633776
"178",0.640740740740741
"179",0.624288425047438
"180",0.62109375
"181",0.615234375
"182",0.652751423149905
"183",0.67037037037037
"184",0.682395644283122
"185",0.664246823956443
"186",0.666061705989111
"187",0.694444444444444
"188",0.703703703703704
"189",0.667876588021779
"190",0.641071428571429
"191",0.667876588021779
"192",0.682395644283122
"193",0.680580762250454
"194",0.682395644283122
"195",0.703703703703704
"196",0.697822141560799
"197",0.69537037037037
"198",0.689753320683112
